option,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240322C00470000,1710257640000,2024-03-12T11:34:00-04:00,46.26,46.26,46.26,46.26,1,46.26,1,
O:SPY240322C00470000,1710257880000,2024-03-12T11:38:00-04:00,46.47,46.47,46.47,46.47,1,46.47,1,
O:SPY240322C00470000,1710343740000,2024-03-13T11:29:00-04:00,46.27,46.27,46.27,46.27,1,46.27,1,
O:SPY240322C00470000,1710509400000,2024-03-15T09:30:00-04:00,40.9,40.9,40.9,40.9,1,40.9,1,
O:SPY240322C00470000,1710510540000,2024-03-15T09:49:00-04:00,40.22,40.22,40.22,40.22,1,40.22,1,
O:SPY240322C00470000,1710510600000,2024-03-15T09:50:00-04:00,40.46,40.61,40.46,40.61,16,40.6006,2,
O:SPY240322C00470000,1710512040000,2024-03-15T10:14:00-04:00,40.8,40.8,40.8,40.8,1,40.8,1,
O:SPY240322C00470000,1710514260000,2024-03-15T10:51:00-04:00,42.1,42.1,42.1,42.1,1,42.1,1,
O:SPY240322C00470000,1710518220000,2024-03-15T11:57:00-04:00,40.41,40.41,40.41,40.41,1,40.41,1,
O:SPY240322C00470000,1710522180000,2024-03-15T13:03:00-04:00,39.25,39.25,39.25,39.25,1,39.25,1,
O:SPY240322C00470000,1710532080000,2024-03-15T15:48:00-04:00,40.42,40.42,40.42,40.42,1,40.42,1,
