option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240322C00470000,2024-03-12,1710257662000,2024-03-12T11:34:22-04:00,46.26,46.26,46.26,46.26,1,46.26,1,
O:SPY240322C00470000,2024-03-12,1710257904000,2024-03-12T11:38:24-04:00,46.47,46.47,46.47,46.47,1,46.47,1,
O:SPY240322C00470000,2024-03-13,1710343795000,2024-03-13T11:29:55-04:00,46.27,46.27,46.27,46.27,1,46.27,1,
O:SPY240322C00470000,2024-03-15,1710509401000,2024-03-15T09:30:01-04:00,40.9,40.9,40.9,40.9,1,40.9,1,
O:SPY240322C00470000,2024-03-15,1710510596000,2024-03-15T09:49:56-04:00,40.22,40.22,40.22,40.22,1,40.22,1,
O:SPY240322C00470000,2024-03-15,1710510610000,2024-03-15T09:50:10-04:00,40.46,40.46,40.46,40.46,1,40.46,1,
O:SPY240322C00470000,2024-03-15,1710510617000,2024-03-15T09:50:17-04:00,40.61,40.61,40.61,40.61,15,40.61,1,
O:SPY240322C00470000,2024-03-15,1710512077000,2024-03-15T10:14:37-04:00,40.8,40.8,40.8,40.8,1,40.8,1,
O:SPY240322C00470000,2024-03-15,1710514303000,2024-03-15T10:51:43-04:00,42.1,42.1,42.1,42.1,1,42.1,1,
O:SPY240322C00470000,2024-03-15,1710518260000,2024-03-15T11:57:40-04:00,40.41,40.41,40.41,40.41,1,40.41,1,
O:SPY240322C00470000,2024-03-15,1710522205000,2024-03-15T13:03:25-04:00,39.25,39.25,39.25,39.25,1,39.25,1,
O:SPY240322C00470000,2024-03-15,1710532124000,2024-03-15T15:48:44-04:00,40.42,40.42,40.42,40.42,1,40.42,1,
