option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240322C00470000,2024-03-12,1710257904681,2024-03-12T11:38:24.681000-04:00,46.47,1,322,[232]
O:SPY240322C00470000,2024-03-12,1710257662601,2024-03-12T11:34:22.601000-04:00,46.26,1,322,[232]
O:SPY240322C00470000,2024-03-13,1710343795154,2024-03-13T11:29:55.154000-04:00,46.27,1,308,[232]
O:SPY240322C00470000,2024-03-15,1710532124778,2024-03-15T15:48:44.778000-04:00,40.42,1,302,[233]
O:SPY240322C00470000,2024-03-15,1710522205046,2024-03-15T13:03:25.046000-04:00,39.25,1,309,[227]
O:SPY240322C00470000,2024-03-15,1710518260139,2024-03-15T11:57:40.139000-04:00,40.41,1,308,[240]
O:SPY240322C00470000,2024-03-15,1710514303498,2024-03-15T10:51:43.498000-04:00,42.1,1,304,[209]
O:SPY240322C00470000,2024-03-15,1710512077460,2024-03-15T10:14:37.460000-04:00,40.8,1,308,[232]
O:SPY240322C00470000,2024-03-15,1710510617740,2024-03-15T09:50:17.740000-04:00,40.61,15,304,[209]
O:SPY240322C00470000,2024-03-15,1710510610745,2024-03-15T09:50:10.745000-04:00,40.46,1,302,[240]
O:SPY240322C00470000,2024-03-15,1710510596292,2024-03-15T09:49:56.292000-04:00,40.22,1,302,[233]
O:SPY240322C00470000,2024-03-15,1710509401593,2024-03-15T09:30:01.593000-04:00,40.9,1,322,[232]
