option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315P00470000,2024-03-11,1710164134000,2024-03-11T09:35:34-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710164168000,2024-03-11T09:36:08-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240315P00470000,2024-03-11,1710164339000,2024-03-11T09:38:59-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,2024-03-11,1710164377000,2024-03-11T09:39:37-04:00,0.1,0.1,0.1,0.1,3,0.1,1,
O:SPY240315P00470000,2024-03-11,1710164447000,2024-03-11T09:40:47-04:00,0.09,0.09,0.09,0.09,160,0.09,1,
O:SPY240315P00470000,2024-03-11,1710164761000,2024-03-11T09:46:01-04:00,0.09,0.09,0.09,0.09,3,0.09,1,
O:SPY240315P00470000,2024-03-11,1710164827000,2024-03-11T09:47:07-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710164911000,2024-03-11T09:48:31-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240315P00470000,2024-03-11,1710165366000,2024-03-11T09:56:06-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240315P00470000,2024-03-11,1710165477000,2024-03-11T09:57:57-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,2024-03-11,1710165816000,2024-03-11T10:03:36-04:00,0.1,0.1,0.1,0.1,10,0.1,1,
O:SPY240315P00470000,2024-03-11,1710166030000,2024-03-11T10:07:10-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710166116000,2024-03-11T10:08:36-04:00,0.09,0.09,0.09,0.09,10,0.09,1,
O:SPY240315P00470000,2024-03-11,1710166132000,2024-03-11T10:08:52-04:00,0.09,0.09,0.09,0.09,15,0.09,6,
O:SPY240315P00470000,2024-03-11,1710166150000,2024-03-11T10:09:10-04:00,0.09,0.09,0.09,0.09,6,0.09,4,
O:SPY240315P00470000,2024-03-11,1710166296000,2024-03-11T10:11:36-04:00,0.09,0.09,0.09,0.09,30,0.09,2,
O:SPY240315P00470000,2024-03-11,1710166414000,2024-03-11T10:13:34-04:00,0.09,0.09,0.09,0.09,150,0.09,3,
O:SPY240315P00470000,2024-03-11,1710166529000,2024-03-11T10:15:29-04:00,0.09,0.1,0.09,0.1,20,0.0945,4,
O:SPY240315P00470000,2024-03-11,1710167007000,2024-03-11T10:23:27-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,2024-03-11,1710167029000,2024-03-11T10:23:49-04:00,0.1,0.1,0.1,0.1,100,0.1,1,
O:SPY240315P00470000,2024-03-11,1710167145000,2024-03-11T10:25:45-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710167318000,2024-03-11T10:28:38-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710167501000,2024-03-11T10:31:41-04:00,0.1,0.1,0.1,0.1,2,0.1,1,
O:SPY240315P00470000,2024-03-11,1710167566000,2024-03-11T10:32:46-04:00,0.1,0.1,0.1,0.1,2,0.1,2,
O:SPY240315P00470000,2024-03-11,1710167568000,2024-03-11T10:32:48-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710167570000,2024-03-11T10:32:50-04:00,0.1,0.1,0.1,0.1,2,0.1,2,
O:SPY240315P00470000,2024-03-11,1710167876000,2024-03-11T10:37:56-04:00,0.1,0.1,0.1,0.1,20,0.1,2,
O:SPY240315P00470000,2024-03-11,1710167915000,2024-03-11T10:38:35-04:00,0.11,0.11,0.11,0.11,5,0.11,1,
O:SPY240315P00470000,2024-03-11,1710167981000,2024-03-11T10:39:41-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,2024-03-11,1710168064000,2024-03-11T10:41:04-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,2024-03-11,1710168126000,2024-03-11T10:42:06-04:00,0.1,0.1,0.1,0.1,4,0.1,2,
O:SPY240315P00470000,2024-03-11,1710168127000,2024-03-11T10:42:07-04:00,0.1,0.1,0.1,0.1,16,0.1,3,
O:SPY240315P00470000,2024-03-11,1710168200000,2024-03-11T10:43:20-04:00,0.1,0.1,0.1,0.1,3,0.1,3,
O:SPY240315P00470000,2024-03-11,1710168201000,2024-03-11T10:43:21-04:00,0.1,0.1,0.1,0.1,17,0.1,3,
O:SPY240315P00470000,2024-03-11,1710168259000,2024-03-11T10:44:19-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,2024-03-11,1710168326000,2024-03-11T10:45:26-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,2024-03-11,1710168388000,2024-03-11T10:46:28-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,2024-03-11,1710168466000,2024-03-11T10:47:46-04:00,0.1,0.1,0.1,0.1,3,0.1,3,
O:SPY240315P00470000,2024-03-11,1710168492000,2024-03-11T10:48:12-04:00,0.1,0.1,0.1,0.1,5,0.1,1,
O:SPY240315P00470000,2024-03-11,1710168544000,2024-03-11T10:49:04-04:00,0.1,0.1,0.1,0.1,10,0.1,3,
O:SPY240315P00470000,2024-03-11,1710168830000,2024-03-11T10:53:50-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710169674000,2024-03-11T11:07:54-04:00,0.08,0.08,0.08,0.08,2,0.08,1,
O:SPY240315P00470000,2024-03-11,1710169735000,2024-03-11T11:08:55-04:00,0.09,0.09,0.09,0.09,100,0.09,1,
O:SPY240315P00470000,2024-03-11,1710169862000,2024-03-11T11:11:02-04:00,0.08,0.08,0.08,0.08,1,0.08,1,
O:SPY240315P00470000,2024-03-11,1710169915000,2024-03-11T11:11:55-04:00,0.09,0.09,0.09,0.09,8,0.09,1,
O:SPY240315P00470000,2024-03-11,1710169987000,2024-03-11T11:13:07-04:00,0.09,0.09,0.09,0.09,50,0.09,1,
O:SPY240315P00470000,2024-03-11,1710170120000,2024-03-11T11:15:20-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,2024-03-11,1710170641000,2024-03-11T11:24:01-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,2024-03-11,1710170847000,2024-03-11T11:27:27-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,2024-03-11,1710171284000,2024-03-11T11:34:44-04:00,0.09,0.09,0.09,0.09,5,0.09,1,
O:SPY240315P00470000,2024-03-11,1710171649000,2024-03-11T11:40:49-04:00,0.08,0.08,0.08,0.08,1,0.08,1,
O:SPY240315P00470000,2024-03-11,1710171949000,2024-03-11T11:45:49-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,2024-03-11,1710171983000,2024-03-11T11:46:23-04:00,0.08,0.08,0.08,0.08,20,0.08,1,
