option,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315P00470000,1710164100000,2024-03-11T09:35:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,1710164160000,2024-03-11T09:36:00-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240315P00470000,1710164280000,2024-03-11T09:38:00-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,1710164340000,2024-03-11T09:39:00-04:00,0.1,0.1,0.1,0.1,3,0.1,1,
O:SPY240315P00470000,1710164400000,2024-03-11T09:40:00-04:00,0.09,0.09,0.09,0.09,160,0.09,1,
O:SPY240315P00470000,1710164760000,2024-03-11T09:46:00-04:00,0.09,0.09,0.09,0.09,3,0.09,1,
O:SPY240315P00470000,1710164820000,2024-03-11T09:47:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,1710164880000,2024-03-11T09:48:00-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240315P00470000,1710165360000,2024-03-11T09:56:00-04:00,0.09,0.09,0.09,0.09,2,0.09,1,
O:SPY240315P00470000,1710165420000,2024-03-11T09:57:00-04:00,0.09,0.09,0.09,0.09,1,0.09,1,
O:SPY240315P00470000,1710165780000,2024-03-11T10:03:00-04:00,0.1,0.1,0.1,0.1,10,0.1,1,
O:SPY240315P00470000,1710166020000,2024-03-11T10:07:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,1710166080000,2024-03-11T10:08:00-04:00,0.09,0.09,0.09,0.09,25,0.09,7,
O:SPY240315P00470000,1710166140000,2024-03-11T10:09:00-04:00,0.09,0.09,0.09,0.09,6,0.09,4,
O:SPY240315P00470000,1710166260000,2024-03-11T10:11:00-04:00,0.09,0.09,0.09,0.09,30,0.09,2,
O:SPY240315P00470000,1710166380000,2024-03-11T10:13:00-04:00,0.09,0.09,0.09,0.09,150,0.09,3,
O:SPY240315P00470000,1710166500000,2024-03-11T10:15:00-04:00,0.09,0.1,0.09,0.1,20,0.0945,4,
O:SPY240315P00470000,1710166980000,2024-03-11T10:23:00-04:00,0.1,0.1,0.1,0.1,120,0.1,2,
O:SPY240315P00470000,1710167100000,2024-03-11T10:25:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,1710167280000,2024-03-11T10:28:00-04:00,0.1,0.1,0.1,0.1,1,0.1,1,
O:SPY240315P00470000,1710167460000,2024-03-11T10:31:00-04:00,0.1,0.1,0.1,0.1,2,0.1,1,
O:SPY240315P00470000,1710167520000,2024-03-11T10:32:00-04:00,0.1,0.1,0.1,0.1,5,0.1,5,
O:SPY240315P00470000,1710167820000,2024-03-11T10:37:00-04:00,0.1,0.1,0.1,0.1,20,0.1,2,
O:SPY240315P00470000,1710167880000,2024-03-11T10:38:00-04:00,0.11,0.11,0.11,0.11,5,0.11,1,
O:SPY240315P00470000,1710167940000,2024-03-11T10:39:00-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
O:SPY240315P00470000,1710168060000,2024-03-11T10:41:00-04:00,0.1,0.1,0.1,0.1,20,0.1,1,
