option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240322P00470000,2024-03-11,1710166157674,2024-03-11T10:09:17.674000-04:00,0.32,1,308,[233]
O:SPY240322P00470000,2024-03-11,1710165161181,2024-03-11T09:52:41.181000-04:00,0.29,9,300,[227]
O:SPY240322P00470000,2024-03-11,1710164022546,2024-03-11T09:33:42.546000-04:00,0.28,148,312,[227]
O:SPY240322P00470000,2024-03-11,1710163997996,2024-03-11T09:33:17.996000-04:00,0.29,8,304,[209]
O:SPY240322P00470000,2024-03-11,1710163997995,2024-03-11T09:33:17.995000-04:00,0.29,12,304,[209]
O:SPY240322P00470000,2024-03-11,1710163997984,2024-03-11T09:33:17.984000-04:00,0.29,5,319,[209]
O:SPY240322P00470000,2024-03-11,1710163814248,2024-03-11T09:30:14.248000-04:00,0.28,25,308,[232]
O:SPY240322P00470000,2024-03-12,1710272695911,2024-03-12T15:44:55.911000-04:00,0.13,3,319,[209]
O:SPY240322P00470000,2024-03-12,1710272265667,2024-03-12T15:37:45.667000-04:00,0.13,2,309,[209]
O:SPY240322P00470000,2024-03-12,1710272172103,2024-03-12T15:36:12.103000-04:00,0.13,1,304,[209]
O:SPY240322P00470000,2024-03-12,1710271836530,2024-03-12T15:30:36.530000-04:00,0.13,1,303,[236]
O:SPY240322P00470000,2024-03-12,1710270304444,2024-03-12T15:05:04.444000-04:00,0.14,1,308,[232]
O:SPY240322P00470000,2024-03-12,1710267148336,2024-03-12T14:12:28.336000-04:00,0.13,1,322,[236]
O:SPY240322P00470000,2024-03-12,1710267148336,2024-03-12T14:12:28.336000-04:00,0.13,2,322,[236]
O:SPY240322P00470000,2024-03-12,1710267148336,2024-03-12T14:12:28.336000-04:00,0.13,1,322,[236]
O:SPY240322P00470000,2024-03-12,1710267148336,2024-03-12T14:12:28.336000-04:00,0.13,2,322,[236]
O:SPY240322P00470000,2024-03-12,1710267148336,2024-03-12T14:12:28.336000-04:00,0.13,1,322,[236]
O:SPY240322P00470000,2024-03-12,1710267148336,2024-03-12T14:12:28.336000-04:00,0.13,2,322,[236]
O:SPY240322P00470000,2024-03-12,1710265811458,2024-03-12T13:50:11.458000-04:00,0.14,1,304,[209]
O:SPY240322P00470000,2024-03-12,1710265806578,2024-03-12T13:50:06.578000-04:00,0.14,2,313,[209]
O:SPY240322P00470000,2024-03-12,1710265581670,2024-03-12T13:46:21.670000-04:00,0.14,2,302,[233]
O:SPY240322P00470000,2024-03-12,1710264111668,2024-03-12T13:21:51.668000-04:00,0.14,1,303,[236]
O:SPY240322P00470000,2024-03-12,1710260941220,2024-03-12T12:29:01.220000-04:00,0.15,40,308,[236]
O:SPY240322P00470000,2024-03-12,1710257947898,2024-03-12T11:39:07.898000-04:00,0.15,2,302,[227]
O:SPY240322P00470000,2024-03-12,1710257947798,2024-03-12T11:39:07.798000-04:00,0.14,6,312,[209]
O:SPY240322P00470000,2024-03-12,1710257947798,2024-03-12T11:39:07.798000-04:00,0.14,9,312,[209]
O:SPY240322P00470000,2024-03-12,1710256800588,2024-03-12T11:20:00.588000-04:00,0.14,10,308,[236]
O:SPY240322P00470000,2024-03-12,1710256626888,2024-03-12T11:17:06.888000-04:00,0.14,10,308,[236]
O:SPY240322P00470000,2024-03-12,1710254845658,2024-03-12T10:47:25.658000-04:00,0.14,5,300,[227]
O:SPY240322P00470000,2024-03-12,1710254687550,2024-03-12T10:44:47.550000-04:00,0.15,5,309,[209]
O:SPY240322P00470000,2024-03-12,1710254295479,2024-03-12T10:38:15.479000-04:00,0.15,1,301,[209]
O:SPY240322P00470000,2024-03-12,1710254011067,2024-03-12T10:33:31.067000-04:00,0.15,3,315,[209]
O:SPY240322P00470000,2024-03-12,1710253449089,2024-03-12T10:24:09.089000-04:00,0.15,1,300,[209]
O:SPY240322P00470000,2024-03-12,1710253419650,2024-03-12T10:23:39.650000-04:00,0.16,10,303,[236]
O:SPY240322P00470000,2024-03-12,1710252844842,2024-03-12T10:14:04.842000-04:00,0.17,10,319,[209]
O:SPY240322P00470000,2024-03-12,1710252158346,2024-03-12T10:02:38.346000-04:00,0.17,5,315,[209]
O:SPY240322P00470000,2024-03-12,1710251933953,2024-03-12T09:58:53.953000-04:00,0.18,5,300,[209]
O:SPY240322P00470000,2024-03-12,1710251700822,2024-03-12T09:55:00.822000-04:00,0.18,10,309,[219]
O:SPY240322P00470000,2024-03-12,1710251562829,2024-03-12T09:52:42.829000-04:00,0.2,1,312,[232]
O:SPY240322P00470000,2024-03-12,1710250754433,2024-03-12T09:39:14.433000-04:00,0.19,1,302,[233]
O:SPY240322P00470000,2024-03-12,1710250461518,2024-03-12T09:34:21.518000-04:00,0.16,1,300,[227]
O:SPY240322P00470000,2024-03-12,1710250201399,2024-03-12T09:30:01.399000-04:00,0.17,1,308,[236]
O:SPY240322P00470000,2024-03-12,1710250200353,2024-03-12T09:30:00.353000-04:00,0.18,3,308,[232]
O:SPY240322P00470000,2024-03-13,1710358472988,2024-03-13T15:34:32.988000-04:00,0.12,20,322,[209]
O:SPY240322P00470000,2024-03-13,1710353298835,2024-03-13T14:08:18.835000-04:00,0.12,4,308,[236]
O:SPY240322P00470000,2024-03-13,1710353298833,2024-03-13T14:08:18.833000-04:00,0.12,3,308,[236]
O:SPY240322P00470000,2024-03-13,1710353298833,2024-03-13T14:08:18.833000-04:00,0.12,3,308,[236]
O:SPY240322P00470000,2024-03-13,1710348811791,2024-03-13T12:53:31.791000-04:00,0.12,1,308,[232]
O:SPY240322P00470000,2024-03-13,1710341296135,2024-03-13T10:48:16.135000-04:00,0.13,5,319,[209]
O:SPY240322P00470000,2024-03-13,1710340315295,2024-03-13T10:31:55.295000-04:00,0.12,10,304,[227]
O:SPY240322P00470000,2024-03-13,1710339669926,2024-03-13T10:21:09.926000-04:00,0.12,50,300,[227]
O:SPY240322P00470000,2024-03-13,1710337747412,2024-03-13T09:49:07.412000-04:00,0.12,10,308,[236]
O:SPY240322P00470000,2024-03-13,1710336605361,2024-03-13T09:30:05.361000-04:00,0.12,1,316,[209]
O:SPY240322P00470000,2024-03-14,1710445758497,2024-03-14T15:49:18.497000-04:00,0.16,4,300,[209]
O:SPY240322P00470000,2024-03-14,1710445758497,2024-03-14T15:49:18.497000-04:00,0.16,1,300,[209]
O:SPY240322P00470000,2024-03-14,1710445579360,2024-03-14T15:46:19.360000-04:00,0.16,15,319,[209]
O:SPY240322P00470000,2024-03-14,1710445261344,2024-03-14T15:41:01.344000-04:00,0.18,7,313,[209]
O:SPY240322P00470000,2024-03-14,1710445201238,2024-03-14T15:40:01.238000-04:00,0.18,1,313,[219]
