ticker,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
SPY,1710163800000,2024-03-11T09:30:00-04:00,510.48,510.94,510.36,510.895,639648,510.6404,9674,
SPY,1710163860000,2024-03-11T09:31:00-04:00,510.89,510.93,510.56,510.61,412286,510.7709,5137,
SPY,1710163920000,2024-03-11T09:32:00-04:00,510.66,510.69,510.28,510.58,491006,510.5262,5505,
SPY,1710163980000,2024-03-11T09:33:00-04:00,510.58,510.64,510.19,510.31,299882,510.429,3455,
SPY,1710164040000,2024-03-11T09:34:00-04:00,510.28,510.59,510.19,510.22,294012,510.3602,2974,
SPY,1710164100000,2024-03-11T09:35:00-04:00,510.21,510.61,510.12,510.48,296605,510.3859,2871,
SPY,1710164160000,2024-03-11T09:36:00-04:00,510.48,510.65,510.47,510.5,195248,510.5513,2170,
SPY,1710164220000,2024-03-11T09:37:00-04:00,510.51,510.87,510.39,510.73,247286,510.6699,2534,
SPY,1710164280000,2024-03-11T09:38:00-04:00,510.73,510.9,510.64,510.86,186801,510.8138,2075,
SPY,1710164340000,2024-03-11T09:39:00-04:00,510.86,510.89,510.55,510.64,206251,510.7402,2392,
SPY,1710164400000,2024-03-11T09:40:00-04:00,510.64,510.79,510.48,510.51,237642,510.6418,2746,
SPY,1710164460000,2024-03-11T09:41:00-04:00,510.49,510.79,510.46,510.55,190682,510.6251,2425,
SPY,1710164520000,2024-03-11T09:42:00-04:00,510.55,510.72,510.45,510.7099,181209,510.5759,2300,
SPY,1710164580000,2024-03-11T09:43:00-04:00,510.7,510.78,510.455,510.51,197132,510.6241,2402,
SPY,1710164640000,2024-03-11T09:44:00-04:00,510.53,510.7,510.415,510.555,106387,510.551,1487,
SPY,1710164700000,2024-03-11T09:45:00-04:00,510.56,510.78,510.47,510.76,143027,510.6712,1829,
SPY,1710164760000,2024-03-11T09:46:00-04:00,510.78,510.89,510.63,510.65,128341,510.7816,1695,
SPY,1710164820000,2024-03-11T09:47:00-04:00,510.65,510.72,510.35,510.35,144698,510.5148,1869,
SPY,1710164880000,2024-03-11T09:48:00-04:00,510.34,510.435,510.17,510.18,192736,510.2652,2049,
SPY,1710164940000,2024-03-11T09:49:00-04:00,510.18,510.33,510.1,510.29,233928,510.2182,2465,
SPY,1710165000000,2024-03-11T09:50:00-04:00,510.3,510.63,510.275,510.53,189796,510.4596,2145,
SPY,1710165060000,2024-03-11T09:51:00-04:00,510.53,510.63,510.27,510.29,106355,510.509,1483,
SPY,1710165120000,2024-03-11T09:52:00-04:00,510.31,510.35,509.91,510.175,290618,510.1075,3514,
SPY,1710165180000,2024-03-11T09:53:00-04:00,510.21,510.28,509.935,510.05,129599,510.1104,1677,
SPY,1710165240000,2024-03-11T09:54:00-04:00,510.04,510.095,509.74,509.76,178228,509.9093,2297,
SPY,1710165300000,2024-03-11T09:55:00-04:00,509.76,509.85,509.565,509.66,255039,509.6848,2811,
SPY,1710165360000,2024-03-11T09:56:00-04:00,509.65,509.99,509.645,509.89,155719,509.8758,1747,
SPY,1710165420000,2024-03-11T09:57:00-04:00,509.9,510.03,509.86,510,144011,509.943,1592,
SPY,1710165480000,2024-03-11T09:58:00-04:00,510.005,510.01,509.68,509.72,216774,509.8013,2259,
SPY,1710165540000,2024-03-11T09:59:00-04:00,509.71,509.71,509.4299,509.4299,197278,509.5281,2259,
