option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240315C00470000,2024-03-12,1710250200332,2024-03-12T09:30:00.332000-04:00,43.75,25,308,[232]
O:SPY240315C00470000,2024-03-13,1710359412475,2024-03-13T15:50:12.475000-04:00,46.38,3,302,[232]
O:SPY240315C00470000,2024-03-13,1710359412475,2024-03-13T15:50:12.475000-04:00,46.36,7,302,[232]
O:SPY240315C00470000,2024-03-13,1710358073787,2024-03-13T15:27:53.787000-04:00,46.16,1,312,[232]
O:SPY240315C00470000,2024-03-13,1710355702976,2024-03-13T14:48:22.976000-04:00,47.01,1,308,[232]
O:SPY240315C00470000,2024-03-13,1710355405674,2024-03-13T14:43:25.674000-04:00,47,1,313,[219]
O:SPY240315C00470000,2024-03-13,1710355037037,2024-03-13T14:37:17.037000-04:00,47.12,7,312,[233]
O:SPY240315C00470000,2024-03-13,1710354952250,2024-03-13T14:35:52.250000-04:00,47.2,1,312,[233]
O:SPY240315C00470000,2024-03-13,1710351355656,2024-03-13T13:35:55.656000-04:00,47.1,1,323,[232]
O:SPY240315C00470000,2024-03-13,1710351355655,2024-03-13T13:35:55.655000-04:00,47.11,1,322,[232]
O:SPY240315C00470000,2024-03-13,1710351355655,2024-03-13T13:35:55.655000-04:00,47.11,1,322,[232]
O:SPY240315C00470000,2024-03-13,1710351355655,2024-03-13T13:35:55.655000-04:00,47.11,3,304,[232]
O:SPY240315C00470000,2024-03-13,1710351355556,2024-03-13T13:35:55.556000-04:00,47.1,2,303,[232]
O:SPY240315C00470000,2024-03-13,1710351355556,2024-03-13T13:35:55.556000-04:00,47.11,1,309,[232]
O:SPY240315C00470000,2024-03-13,1710351355555,2024-03-13T13:35:55.555000-04:00,46.92,1,301,[232]
O:SPY240315C00470000,2024-03-13,1710351355555,2024-03-13T13:35:55.555000-04:00,47.1,1,308,[232]
O:SPY240315C00470000,2024-03-13,1710351355555,2024-03-13T13:35:55.555000-04:00,47.08,1,313,[232]
O:SPY240315C00470000,2024-03-13,1710350766689,2024-03-13T13:26:06.689000-04:00,47.27,1,304,[232]
O:SPY240315C00470000,2024-03-13,1710350139111,2024-03-13T13:15:39.111000-04:00,47.18,2,300,[232]
O:SPY240315C00470000,2024-03-13,1710349829301,2024-03-13T13:10:29.301000-04:00,47.24,7,308,[232]
O:SPY240315C00470000,2024-03-13,1710349338328,2024-03-13T13:02:18.328000-04:00,47.11,1,313,[209]
O:SPY240315C00470000,2024-03-13,1710347918945,2024-03-13T12:38:38.945000-04:00,46.54,5,308,[232]
O:SPY240315C00470000,2024-03-13,1710346176252,2024-03-13T12:09:36.252000-04:00,46.44,1,312,[227]
O:SPY240315C00470000,2024-03-13,1710345909121,2024-03-13T12:05:09.121000-04:00,46.6,297,313,[209]
O:SPY240315C00470000,2024-03-13,1710343795154,2024-03-13T11:29:55.154000-04:00,46.29,1,308,[232]
O:SPY240315C00470000,2024-03-13,1710343698976,2024-03-13T11:28:18.976000-04:00,46.4,30,313,[209]
O:SPY240315C00470000,2024-03-13,1710340960438,2024-03-13T10:42:40.438000-04:00,46.66,25,308,[233]
O:SPY240315C00470000,2024-03-13,1710340759087,2024-03-13T10:39:19.087000-04:00,46.6,1,308,[227]
O:SPY240315C00470000,2024-03-13,1710340375325,2024-03-13T10:32:55.325000-04:00,46.7,1,308,[232]
O:SPY240315C00470000,2024-03-13,1710339563023,2024-03-13T10:19:23.023000-04:00,46.65,4,308,[227]
O:SPY240315C00470000,2024-03-13,1710339424367,2024-03-13T10:17:04.367000-04:00,46.6,1,302,[209]
O:SPY240315C00470000,2024-03-13,1710339424367,2024-03-13T10:17:04.367000-04:00,46.6,1,302,[209]
